number_of_weights_flipped,percentage_of_weights_flipped,Magnitude,Gradient,alpha_0.25,alpha_0.5,alpha_0.75,Layer
0,0.001,2.8569481670856476,2.8569481670856476,2.865263288835936,2.865263288835936,2.865263288835936,backbone.layers.47.mixer.A_log
3,0.005,4.6763748948772745,2.847146663814783,5.011317582673664,2.8816313773770874,2.8602312287197837,backbone.layers.47.mixer.A_log
5,0.008,4.857503148416678,3.031463244309028,5.3221522222591355,5.048285519322262,2.8807266965697083,backbone.layers.47.mixer.A_log
6,0.01,14.957833694914976,3.031500286112229,15.482788586918312,5.360514955882785,5.041445499130442,backbone.layers.47.mixer.A_log
9,0.015,20.54371902594964,3.3931472984453044,21.28736321292346,21.18727507772325,15.551879705356646,backbone.layers.47.mixer.A_log
13,0.02,18.61992409080267,3.569697620968024,19.189281015758272,19.13859957924372,21.362286407132693,backbone.layers.47.mixer.A_log
19,0.03,17.078101456165314,3.4341434203088284,17.605057069319713,17.039343948605694,19.149257738378985,backbone.layers.47.mixer.A_log
32,0.05,15.94280257821083,3.800391404579083,16.66682255418995,16.594059981575494,16.9032435018805,backbone.layers.47.mixer.A_log
65,0.1,20.731850651403267,6.111475681265195,22.225473740734632,22.185444287408757,21.95297077999839,backbone.layers.47.mixer.A_log
131,0.2,17.271373718976974,8.117933591206869,17.31492476644395,16.536791034891635,16.26726636162287,backbone.layers.47.mixer.A_log
655,1.0,14.37098346898953,7.719938864310582,16.42088136431537,16.424531290802776,16.437011956564987,backbone.layers.47.mixer.A_log
