Layer,Attack_type,percentage_of_weights_flipped,number_of_weights_flipped,Model_loss,Layer_type,loss_fn
backbone.layers.0.mixer.dt_proj.bias,Magnitude,0.1,4,6.17636935164531,mixer.dt_proj.bias,1.5440923379113276
backbone.layers.0.mixer.dt_proj.bias,Magnitude,1.0,40,7.354989538590114,mixer.dt_proj.bias,0.18387473846475283
backbone.layers.0.mixer.dt_proj.bias,Magnitude,5.0,204,8.258299574255943,mixer.dt_proj.bias,0.04048186065811737
backbone.layers.0.mixer.dt_proj.bias,Magnitude,10.0,409,8.267736752827963,mixer.dt_proj.bias,0.020214515288087927
backbone.layers.0.mixer.dt_proj.bias,Magnitude,50.0,2048,8.103381474812826,mixer.dt_proj.bias,0.00395672923574845
backbone.layers.0.mixer.dt_proj.bias,Gradient,0.1,4,5.107646281520526,mixer.dt_proj.bias,1.2769115703801315
backbone.layers.0.mixer.dt_proj.bias,Gradient,1.0,40,7.26736257225275,mixer.dt_proj.bias,0.18168406430631875
backbone.layers.0.mixer.dt_proj.bias,Gradient,5.0,204,6.954512891670068,mixer.dt_proj.bias,0.03409074946897092
backbone.layers.0.mixer.dt_proj.bias,Gradient,10.0,409,6.691923138995965,mixer.dt_proj.bias,0.0163616702664938
backbone.layers.0.mixer.dt_proj.bias,Gradient,50.0,2048,7.12543257077535,mixer.dt_proj.bias,0.003479215122448901
backbone.layers.0.mixer.dt_proj.bias,Hybrid,0.1,4,5.725460919241111,mixer.dt_proj.bias,1.4313652298102777
backbone.layers.0.mixer.dt_proj.bias,Hybrid,1.0,40,7.877664004762967,mixer.dt_proj.bias,0.1969416001190742
backbone.layers.0.mixer.dt_proj.bias,Hybrid,5.0,204,8.117570405205091,mixer.dt_proj.bias,0.03979201179022104
backbone.layers.0.mixer.dt_proj.bias,Hybrid,10.0,409,8.042512560884157,mixer.dt_proj.bias,0.019663844892137305
backbone.layers.0.mixer.dt_proj.bias,Hybrid,50.0,2048,8.12222953637441,mixer.dt_proj.bias,0.003965932390807818
backbone.layers.0.mixer.out_proj.weight,Magnitude,0.001,83,2.8783602491021156,mixer.out_proj.weight,0.034679039145808624
backbone.layers.0.mixer.out_proj.weight,Magnitude,0.01,838,2.9207906362911067,mixer.out_proj.weight,0.00348543035356934
backbone.layers.0.mixer.out_proj.weight,Magnitude,0.1,8388,2.9238354923824468,mixer.out_proj.weight,0.0003485736161638587
backbone.layers.0.mixer.out_proj.weight,Magnitude,1.0,83886,2.9642838860551515,mixer.out_proj.weight,3.533705130838461e-05
backbone.layers.0.mixer.out_proj.weight,Magnitude,5.0,419430,3.612045352657636,mixer.out_proj.weight,8.611795419158468e-06
backbone.layers.0.mixer.out_proj.weight,Magnitude,10.0,838860,4.539696375528972,mixer.out_proj.weight,5.411744958072827e-06
backbone.layers.0.mixer.out_proj.weight,Magnitude,50.0,4194304,8.142888968189558,mixer.out_proj.weight,1.9414160175775428e-06
backbone.layers.0.mixer.out_proj.weight,Gradient,0.001,83,2.857065364718437,mixer.out_proj.weight,0.034422474273716114
backbone.layers.0.mixer.out_proj.weight,Gradient,0.01,838,2.8579765086372695,mixer.out_proj.weight,0.0034104731606649993
backbone.layers.0.mixer.out_proj.weight,Gradient,0.1,8388,2.8580454364418983,mixer.out_proj.weight,0.00034073026185525734
