Layer,Attack_type,percentage_of_weights_flipped,number_of_weights_flipped,Model_loss
backbone.layers.0.mixer.conv1d.weight,Magnitude,5.0,819,6.1813932582736015
backbone.layers.0.mixer.conv1d.weight,Magnitude,10.0,1638,6.034901022911072
backbone.layers.0.mixer.conv1d.weight,Magnitude,50.0,8192,8.27353206028541
backbone.layers.0.mixer.conv1d.weight,Gradient,0.001,0,2.8569481670856476
backbone.layers.0.mixer.conv1d.weight,Gradient,0.01,1,2.8569481670856476
backbone.layers.0.mixer.conv1d.weight,Gradient,0.1,16,2.856656956175963
backbone.layers.0.mixer.conv1d.weight,Gradient,1.0,163,2.8662366842230163
backbone.layers.0.mixer.conv1d.weight,Gradient,5.0,819,6.718144131203492
backbone.layers.0.mixer.conv1d.weight,Gradient,10.0,1638,9.508718751370907
backbone.layers.0.mixer.conv1d.weight,Gradient,50.0,8192,10.284686038891474
backbone.layers.0.mixer.conv1d.weight,Hybrid,0.001,0,2.8569481670856476
backbone.layers.0.mixer.conv1d.weight,Hybrid,0.01,1,2.8566007601718106
backbone.layers.0.mixer.conv1d.weight,Hybrid,0.1,16,5.373470249275367
backbone.layers.0.mixer.conv1d.weight,Hybrid,1.0,163,6.20588585237662
backbone.layers.0.mixer.conv1d.weight,Hybrid,5.0,819,6.2749830310543375
backbone.layers.0.mixer.conv1d.weight,Hybrid,10.0,1638,6.067921981215477
backbone.layers.0.mixer.conv1d.weight,Hybrid,50.0,8192,10.29754007110993
backbone.layers.0.mixer.conv1d.bias,Magnitude,0.001,0,2.8569481670856476
backbone.layers.0.mixer.conv1d.bias,Magnitude,0.01,0,2.8569481670856476
backbone.layers.0.mixer.conv1d.bias,Magnitude,0.1,4,2.8721158765256405
backbone.layers.0.mixer.conv1d.bias,Magnitude,1.0,40,3.258431598544121
backbone.layers.0.mixer.conv1d.bias,Magnitude,5.0,204,4.176814593374729
backbone.layers.0.mixer.conv1d.bias,Magnitude,10.0,409,4.281620075305303
backbone.layers.0.mixer.conv1d.bias,Magnitude,50.0,2048,8.072722430030504
backbone.layers.0.mixer.conv1d.bias,Gradient,0.001,0,2.8569481670856476
backbone.layers.0.mixer.conv1d.bias,Gradient,0.01,0,2.8569481670856476
backbone.layers.0.mixer.conv1d.bias,Gradient,0.1,4,2.862751113871733
backbone.layers.0.mixer.conv1d.bias,Gradient,1.0,40,2.867621496319771
backbone.layers.0.mixer.conv1d.bias,Gradient,5.0,204,2.8901347580055394
backbone.layers.0.mixer.conv1d.bias,Gradient,10.0,409,2.9750492349267006
backbone.layers.0.mixer.conv1d.bias,Gradient,50.0,2048,4.0566706756750746
backbone.layers.0.mixer.conv1d.bias,Hybrid,0.001,0,2.8569481670856476
backbone.layers.0.mixer.conv1d.bias,Hybrid,0.01,0,2.8569481670856476
backbone.layers.0.mixer.conv1d.bias,Hybrid,0.1,4,2.8515062741935253
backbone.layers.0.mixer.conv1d.bias,Hybrid,1.0,40,2.868978839367628
backbone.layers.0.mixer.conv1d.bias,Hybrid,5.0,204,3.189428565402826
backbone.layers.0.mixer.conv1d.bias,Hybrid,10.0,409,3.85596090182662
backbone.layers.0.mixer.conv1d.bias,Hybrid,50.0,2048,4.5394003341595335
backbone.layers.0.mixer.in_proj.weight,Magnitude,0.001,167,4.021207525084416
backbone.layers.0.mixer.in_proj.weight,Magnitude,0.01,1677,4.116867107649644
backbone.layers.0.mixer.in_proj.weight,Magnitude,0.1,16777,4.192749654253324
backbone.layers.0.mixer.in_proj.weight,Magnitude,1.0,167772,5.694373307128747
backbone.layers.0.mixer.in_proj.weight,Magnitude,5.0,838860,6.925660366813342
backbone.layers.0.mixer.in_proj.weight,Magnitude,10.0,1677721,7.51968124260505
backbone.layers.0.mixer.in_proj.weight,Magnitude,50.0,8388608,9.361745595932007
backbone.layers.0.mixer.in_proj.weight,Gradient,0.001,167,2.8759211686750255
backbone.layers.0.mixer.in_proj.weight,Gradient,0.01,1677,2.8649591704209647
backbone.layers.0.mixer.in_proj.weight,Gradient,0.1,16777,3.407244924455881
backbone.layers.0.mixer.in_proj.weight,Gradient,1.0,167772,7.410787880420685
backbone.layers.0.mixer.in_proj.weight,Gradient,5.0,838860,10.484721332788467
backbone.layers.0.mixer.in_proj.weight,Gradient,10.0,1677721,10.210991531610489
backbone.layers.0.mixer.in_proj.weight,Gradient,50.0,8388608,11.096478432416916
backbone.layers.0.mixer.in_proj.weight,Hybrid,0.001,167,3.1377690409620604
backbone.layers.0.mixer.in_proj.weight,Hybrid,0.01,1677,5.632139960924785
backbone.layers.0.mixer.in_proj.weight,Hybrid,0.1,16777,4.9644466663400335
backbone.layers.0.mixer.in_proj.weight,Hybrid,1.0,167772,6.109082100292047
backbone.layers.0.mixer.in_proj.weight,Hybrid,5.0,838860,6.966707358757655
backbone.layers.0.mixer.in_proj.weight,Hybrid,10.0,1677721,7.9662004460891085
backbone.layers.0.mixer.in_proj.weight,Hybrid,50.0,8388608,10.259615376591682
backbone.layers.0.mixer.x_proj.weight,Magnitude,0.001,6,2.8513960018754005
backbone.layers.0.mixer.x_proj.weight,Magnitude,0.01,65,2.856229821840922
backbone.layers.0.mixer.x_proj.weight,Magnitude,0.1,655,2.8599442206323147
backbone.layers.0.mixer.x_proj.weight,Magnitude,1.0,6553,2.9499374317626157
backbone.layers.0.mixer.x_proj.weight,Magnitude,5.0,32768,3.355896277974049
backbone.layers.0.mixer.x_proj.weight,Magnitude,10.0,65536,3.5608320695658526
backbone.layers.0.mixer.x_proj.weight,Magnitude,50.0,327680,4.72291062027216
backbone.layers.0.mixer.x_proj.weight,Gradient,0.001,6,2.8576253640154996
backbone.layers.0.mixer.x_proj.weight,Gradient,0.01,65,2.859955832362175
backbone.layers.0.mixer.x_proj.weight,Gradient,0.1,655,2.9017211385071278
backbone.layers.0.mixer.x_proj.weight,Gradient,1.0,6553,3.2777101285755634
backbone.layers.0.mixer.x_proj.weight,Gradient,5.0,32768,3.2690855227410793
backbone.layers.0.mixer.x_proj.weight,Gradient,10.0,65536,3.375559358547131
backbone.layers.0.mixer.x_proj.weight,Gradient,50.0,327680,3.4370459193984666
backbone.layers.0.mixer.x_proj.weight,Hybrid,0.001,6,2.851330062995354
backbone.layers.0.mixer.x_proj.weight,Hybrid,0.01,65,2.856482775261005
backbone.layers.0.mixer.x_proj.weight,Hybrid,0.1,655,2.860956382006407
backbone.layers.0.mixer.x_proj.weight,Hybrid,1.0,6553,2.9780841656029224
backbone.layers.0.mixer.x_proj.weight,Hybrid,5.0,32768,3.431702102224032
backbone.layers.0.mixer.x_proj.weight,Hybrid,10.0,65536,3.73764635498325
backbone.layers.0.mixer.x_proj.weight,Hybrid,50.0,327680,4.743696625034015
backbone.layers.0.mixer.dt_proj.weight,Magnitude,0.001,5,2.8570968409379325
backbone.layers.0.mixer.dt_proj.weight,Magnitude,0.01,52,2.8568082911272845
backbone.layers.0.mixer.dt_proj.weight,Magnitude,0.1,524,2.861176365365585
backbone.layers.0.mixer.dt_proj.weight,Magnitude,1.0,5242,4.7073391030232115
backbone.layers.0.mixer.dt_proj.weight,Magnitude,5.0,26214,8.378445694843927
backbone.layers.0.mixer.dt_proj.weight,Magnitude,10.0,52428,8.851185068488121
backbone.layers.0.mixer.dt_proj.weight,Magnitude,50.0,262144,9.189659277598063
backbone.layers.0.mixer.dt_proj.weight,Gradient,0.001,5,2.8565784518917403
backbone.layers.0.mixer.dt_proj.weight,Gradient,0.01,52,2.863323094944159
backbone.layers.0.mixer.dt_proj.weight,Gradient,0.1,524,2.8589156990249953
backbone.layers.0.mixer.dt_proj.weight,Gradient,1.0,5242,2.863237749785185
backbone.layers.0.mixer.dt_proj.weight,Gradient,5.0,26214,2.885497212409973
backbone.layers.0.mixer.dt_proj.weight,Gradient,10.0,52428,2.935732115060091
backbone.layers.0.mixer.dt_proj.weight,Gradient,50.0,262144,3.117010086774826
backbone.layers.0.mixer.dt_proj.weight,Hybrid,0.001,5,2.8572870902717113
backbone.layers.0.mixer.dt_proj.weight,Hybrid,0.01,52,2.8573657758533955
backbone.layers.0.mixer.dt_proj.weight,Hybrid,0.1,524,2.8571774239341416
backbone.layers.0.mixer.dt_proj.weight,Hybrid,1.0,5242,4.696373678743839
backbone.layers.0.mixer.dt_proj.weight,Hybrid,5.0,26214,8.364327445626259
backbone.layers.0.mixer.dt_proj.weight,Hybrid,10.0,52428,8.86286195119222
backbone.layers.0.mixer.dt_proj.weight,Hybrid,50.0,262144,9.198823511600494
backbone.layers.0.mixer.dt_proj.bias,Magnitude,0.001,0,2.8569481670856476
backbone.layers.0.mixer.dt_proj.bias,Magnitude,0.01,0,2.8569481670856476
backbone.layers.0.mixer.dt_proj.bias,Magnitude,0.1,4,6.17636935164531
backbone.layers.0.mixer.dt_proj.bias,Magnitude,1.0,40,7.354989538590114
backbone.layers.0.mixer.dt_proj.bias,Magnitude,5.0,204,8.258299574255943
backbone.layers.0.mixer.dt_proj.bias,Magnitude,10.0,409,8.267736752827963
backbone.layers.0.mixer.dt_proj.bias,Magnitude,50.0,2048,8.103381474812826
backbone.layers.0.mixer.dt_proj.bias,Gradient,0.001,0,2.8569481670856476
backbone.layers.0.mixer.dt_proj.bias,Gradient,0.01,0,2.8569481670856476
backbone.layers.0.mixer.dt_proj.bias,Gradient,0.1,4,5.107646281520526
backbone.layers.0.mixer.dt_proj.bias,Gradient,1.0,40,7.26736257225275
backbone.layers.0.mixer.dt_proj.bias,Gradient,5.0,204,6.954512891670068
backbone.layers.0.mixer.dt_proj.bias,Gradient,10.0,409,6.691923138995965
backbone.layers.0.mixer.dt_proj.bias,Gradient,50.0,2048,7.12543257077535
backbone.layers.0.mixer.dt_proj.bias,Hybrid,0.001,0,2.8569481670856476
backbone.layers.0.mixer.dt_proj.bias,Hybrid,0.01,0,2.8569481670856476
backbone.layers.0.mixer.dt_proj.bias,Hybrid,0.1,4,5.725460919241111
backbone.layers.0.mixer.dt_proj.bias,Hybrid,1.0,40,7.877664004762967
backbone.layers.0.mixer.dt_proj.bias,Hybrid,5.0,204,8.117570405205091
backbone.layers.0.mixer.dt_proj.bias,Hybrid,10.0,409,8.042512560884157
backbone.layers.0.mixer.dt_proj.bias,Hybrid,50.0,2048,8.12222953637441
backbone.layers.0.mixer.out_proj.weight,Magnitude,0.001,83,2.8783602491021156
backbone.layers.0.mixer.out_proj.weight,Magnitude,0.01,838,2.9207906362911067
backbone.layers.0.mixer.out_proj.weight,Magnitude,0.1,8388,2.9238354923824468
backbone.layers.0.mixer.out_proj.weight,Magnitude,1.0,83886,2.9642838860551515
backbone.layers.0.mixer.out_proj.weight,Magnitude,5.0,419430,3.612045352657636
backbone.layers.0.mixer.out_proj.weight,Magnitude,10.0,838860,4.539696375528972
backbone.layers.0.mixer.out_proj.weight,Magnitude,50.0,4194304,8.142888968189558
backbone.layers.0.mixer.out_proj.weight,Gradient,0.001,83,2.857065364718437
backbone.layers.0.mixer.out_proj.weight,Gradient,0.01,838,2.8579765086372695
backbone.layers.0.mixer.out_proj.weight,Gradient,0.1,8388,2.8580454364418983
backbone.layers.0.mixer.out_proj.weight,Gradient,1.0,83886,2.8831083017090955
backbone.layers.0.mixer.out_proj.weight,Gradient,5.0,419430,3.267242052902778
backbone.layers.0.mixer.out_proj.weight,Gradient,10.0,838860,3.5660882306595645
backbone.layers.0.mixer.out_proj.weight,Gradient,50.0,4194304,5.714014381170273
backbone.layers.0.mixer.out_proj.weight,Hybrid,0.001,83,2.8612246215343475
backbone.layers.0.mixer.out_proj.weight,Hybrid,0.01,838,2.88824982692798
backbone.layers.0.mixer.out_proj.weight,Hybrid,0.1,8388,2.9188015523056188
backbone.layers.0.mixer.out_proj.weight,Hybrid,1.0,83886,2.962272015710672
backbone.layers.0.mixer.out_proj.weight,Hybrid,5.0,419430,3.6224625756343207
backbone.layers.0.mixer.out_proj.weight,Hybrid,10.0,838860,4.566230120758216
backbone.layers.0.mixer.out_proj.weight,Hybrid,50.0,4194304,8.25434073805809
backbone.layers.1.norm.weight,Magnitude,0.001,0,2.8569481670856476
backbone.layers.1.norm.weight,Magnitude,0.01,0,2.8569481670856476
backbone.layers.1.norm.weight,Magnitude,0.1,2,2.857156718770663
backbone.layers.1.norm.weight,Magnitude,1.0,20,2.867617835601171
backbone.layers.1.norm.weight,Magnitude,5.0,102,2.880998139580091
backbone.layers.1.norm.weight,Magnitude,10.0,204,2.885654137780269
backbone.layers.1.norm.weight,Magnitude,50.0,1024,2.9152963707844415
backbone.layers.1.norm.weight,Gradient,0.001,0,2.8569481670856476
backbone.layers.1.norm.weight,Gradient,0.01,0,2.8569481670856476
backbone.layers.1.norm.weight,Gradient,0.1,2,2.8718316132823625
backbone.layers.1.norm.weight,Gradient,1.0,20,2.870340002079805
backbone.layers.1.norm.weight,Gradient,5.0,102,2.8737239154676595
backbone.layers.1.norm.weight,Gradient,10.0,204,2.876133835564057
backbone.layers.1.norm.weight,Gradient,50.0,1024,2.907651281605164
backbone.layers.1.norm.weight,Hybrid,0.001,0,2.8569481670856476
backbone.layers.1.norm.weight,Hybrid,0.01,0,2.8569481670856476
backbone.layers.1.norm.weight,Hybrid,0.1,2,2.8624832443892956
backbone.layers.1.norm.weight,Hybrid,1.0,20,2.8869099840521812
backbone.layers.1.norm.weight,Hybrid,5.0,102,2.883923583974441
backbone.layers.1.norm.weight,Hybrid,10.0,204,2.894187420606613
backbone.layers.1.norm.weight,Hybrid,50.0,1024,2.905661705881357
backbone.layers.1.mixer.A_log,Magnitude,0.001,0,2.8569481670856476
backbone.layers.1.mixer.A_log,Magnitude,0.01,6,2.8567348482708135
backbone.layers.1.mixer.A_log,Magnitude,0.1,65,2.8480430195728936
backbone.layers.1.mixer.A_log,Magnitude,1.0,655,2.946594422062238
backbone.layers.1.mixer.A_log,Magnitude,5.0,3276,3.6308514525492988
backbone.layers.1.mixer.A_log,Magnitude,10.0,6553,4.178151878217856
backbone.layers.1.mixer.A_log,Magnitude,50.0,32768,4.080341152846813
backbone.layers.1.mixer.A_log,Gradient,0.001,0,2.8569481670856476
backbone.layers.1.mixer.A_log,Gradient,0.01,6,2.8566429826120534
backbone.layers.1.mixer.A_log,Gradient,0.1,65,2.8477096619705358
backbone.layers.1.mixer.A_log,Gradient,1.0,655,2.862942369033893
backbone.layers.1.mixer.A_log,Gradient,5.0,3276,3.0788819578786693
backbone.layers.1.mixer.A_log,Gradient,10.0,6553,3.314938932657242
backbone.layers.1.mixer.A_log,Gradient,50.0,32768,4.283929869532585
backbone.layers.1.mixer.A_log,Hybrid,0.001,0,2.8569481670856476
backbone.layers.1.mixer.A_log,Hybrid,0.01,6,2.857555282612642
backbone.layers.1.mixer.A_log,Hybrid,0.1,65,2.8483321480453014
backbone.layers.1.mixer.A_log,Hybrid,1.0,655,2.9477335860331855
backbone.layers.1.mixer.A_log,Hybrid,5.0,3276,3.688363096366326
backbone.layers.1.mixer.A_log,Hybrid,10.0,6553,4.201100034018357
backbone.layers.1.mixer.A_log,Hybrid,50.0,32768,4.240627316137155
backbone.layers.1.mixer.D,Magnitude,0.001,0,2.8569481670856476
backbone.layers.1.mixer.D,Magnitude,0.01,0,2.8569481670856476
backbone.layers.1.mixer.D,Magnitude,0.1,4,2.8583493505915007
backbone.layers.1.mixer.D,Magnitude,1.0,40,2.8631214710573354
backbone.layers.1.mixer.D,Magnitude,5.0,204,2.875732585787773
backbone.layers.1.mixer.D,Magnitude,10.0,409,2.873871532579263
backbone.layers.1.mixer.D,Magnitude,50.0,2048,2.8863971705238023
backbone.layers.1.mixer.D,Gradient,0.001,0,2.8569481670856476
backbone.layers.1.mixer.D,Gradient,0.01,0,2.8569481670856476
backbone.layers.1.mixer.D,Gradient,0.1,4,2.8577494397759438
backbone.layers.1.mixer.D,Gradient,1.0,40,2.855605444560448
backbone.layers.1.mixer.D,Gradient,5.0,204,2.876286639521519
backbone.layers.1.mixer.D,Gradient,10.0,409,2.8828833351532617
backbone.layers.1.mixer.D,Gradient,50.0,2048,2.888371859987577
backbone.layers.1.mixer.D,Hybrid,0.001,0,2.8569481670856476
